year,month,day,team_1,team_2,score_1,score_2,location,mvp_player,review1,review2
2024,3,26,롯데,KIA,1,2,광주,양현종,"
    2024-3-26에 광주에서 열린 경기에서 KIA가 롯데를 상대로 2 대 1로 승리를 거두었습니다. KIA는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 양현종가 MVP로 선정되었습니다. 이번 승리로 KIA는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-26에 광주에서 열린 경기에서 롯데는 KIA를 상대로 1 대 2로 아쉽게 패배하였습니다. 롯데는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 KIA의 공세를 막지 못했습니다. 이번 패배로 롯데는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,26,두산,KT,8,5,수원,강승호,"
    2024-3-26에 수원에서 열린 경기에서 두산가 KT를 상대로 8 대 5로 승리를 거두었습니다. 두산는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 강승호가 MVP로 선정되었습니다. 이번 승리로 두산는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-26에 수원에서 열린 경기에서 KT는 두산를 상대로 5 대 8로 아쉽게 패배하였습니다. KT는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 두산의 공세를 막지 못했습니다. 이번 패배로 KT는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,26,한화,SSG,6,0,문학,김민우,"
    2024-3-26에 문학에서 열린 경기에서 한화가 SSG를 상대로 6 대 0로 승리를 거두었습니다. 한화는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 김민우가 MVP로 선정되었습니다. 이번 승리로 한화는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-26에 문학에서 열린 경기에서 SSG는 한화를 상대로 0 대 6로 아쉽게 패배하였습니다. SSG는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 한화의 공세를 막지 못했습니다. 이번 패배로 SSG는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,26,삼성,LG,3,4,잠실,홍창기,"
    2024-3-26에 잠실에서 열린 경기에서 LG가 삼성를 상대로 4 대 3로 승리를 거두었습니다. LG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 홍창기가 MVP로 선정되었습니다. 이번 승리로 LG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-26에 잠실에서 열린 경기에서 삼성는 LG를 상대로 3 대 4로 아쉽게 패배하였습니다. 삼성는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 LG의 공세를 막지 못했습니다. 이번 패배로 삼성는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,27,삼성,LG,2,2,잠실,김재윤,"
    2024-3-27에 잠실에서 열린 경기에서 LG가 삼성를 상대로 2 대 2로 승리를 거두었습니다. LG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 김재윤가 MVP로 선정되었습니다. 이번 승리로 LG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-27에 잠실에서 열린 경기에서 삼성는 LG를 상대로 2 대 2로 아쉽게 패배하였습니다. 삼성는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 LG의 공세를 막지 못했습니다. 이번 패배로 삼성는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,27,한화,SSG,3,1,문학,산체스,"
    2024-3-27에 문학에서 열린 경기에서 한화가 SSG를 상대로 3 대 1로 승리를 거두었습니다. 한화는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 산체스가 MVP로 선정되었습니다. 이번 승리로 한화는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-27에 문학에서 열린 경기에서 SSG는 한화를 상대로 1 대 3로 아쉽게 패배하였습니다. SSG는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 한화의 공세를 막지 못했습니다. 이번 패배로 SSG는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,27,두산,KT,11,8,수원,정수빈,"
    2024-3-27에 수원에서 열린 경기에서 두산가 KT를 상대로 11 대 8로 승리를 거두었습니다. 두산는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 정수빈가 MVP로 선정되었습니다. 이번 승리로 두산는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-27에 수원에서 열린 경기에서 KT는 두산를 상대로 8 대 11로 아쉽게 패배하였습니다. KT는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 두산의 공세를 막지 못했습니다. 이번 패배로 KT는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,27,롯데,KIA,2,8,광주,최형우,"
    2024-3-27에 광주에서 열린 경기에서 KIA가 롯데를 상대로 8 대 2로 승리를 거두었습니다. KIA는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 최형우가 MVP로 선정되었습니다. 이번 승리로 KIA는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-27에 광주에서 열린 경기에서 롯데는 KIA를 상대로 2 대 8로 아쉽게 패배하였습니다. 롯데는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 KIA의 공세를 막지 못했습니다. 이번 패배로 롯데는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,27,키움,NC,2,6,창원,서호철,"
    2024-3-27에 창원에서 열린 경기에서 NC가 키움를 상대로 6 대 2로 승리를 거두었습니다. NC는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 서호철가 MVP로 선정되었습니다. 이번 승리로 NC는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-27에 창원에서 열린 경기에서 키움는 NC를 상대로 2 대 6로 아쉽게 패배하였습니다. 키움는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 NC의 공세를 막지 못했습니다. 이번 패배로 키움는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,28,두산,KT,7,8,수원,김재환,"
    2024-3-28에 수원에서 열린 경기에서 KT가 두산를 상대로 8 대 7로 승리를 거두었습니다. KT는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 김재환가 MVP로 선정되었습니다. 이번 승리로 KT는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-28에 수원에서 열린 경기에서 두산는 KT를 상대로 7 대 8로 아쉽게 패배하였습니다. 두산는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 KT의 공세를 막지 못했습니다. 이번 패배로 두산는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,28,한화,SSG,10,6,문학,노시환,"
    2024-3-28에 문학에서 열린 경기에서 한화가 SSG를 상대로 10 대 6로 승리를 거두었습니다. 한화는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 노시환가 MVP로 선정되었습니다. 이번 승리로 한화는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-28에 문학에서 열린 경기에서 SSG는 한화를 상대로 6 대 10로 아쉽게 패배하였습니다. SSG는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 한화의 공세를 막지 못했습니다. 이번 패배로 SSG는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,28,삼성,LG,1,18,잠실,손주영,"
    2024-3-28에 잠실에서 열린 경기에서 LG가 삼성를 상대로 18 대 1로 승리를 거두었습니다. LG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 손주영가 MVP로 선정되었습니다. 이번 승리로 LG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-28에 잠실에서 열린 경기에서 삼성는 LG를 상대로 1 대 18로 아쉽게 패배하였습니다. 삼성는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 LG의 공세를 막지 못했습니다. 이번 패배로 삼성는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,29,NC,롯데,1,3,사직,전준우,"
    2024-3-29에 사직에서 열린 경기에서 롯데가 NC를 상대로 3 대 1로 승리를 거두었습니다. 롯데는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 전준우가 MVP로 선정되었습니다. 이번 승리로 롯데는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-29에 사직에서 열린 경기에서 NC는 롯데를 상대로 1 대 3로 아쉽게 패배하였습니다. NC는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 롯데의 공세를 막지 못했습니다. 이번 패배로 NC는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,29,SSG,삼성,6,4,대구,김광현,"
    2024-3-29에 대구에서 열린 경기에서 SSG가 삼성를 상대로 6 대 4로 승리를 거두었습니다. SSG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 김광현가 MVP로 선정되었습니다. 이번 승리로 SSG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-29에 대구에서 열린 경기에서 삼성는 SSG를 상대로 4 대 6로 아쉽게 패배하였습니다. 삼성는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 SSG의 공세를 막지 못했습니다. 이번 패배로 삼성는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,29,KT,한화,2,3,대전,주현상,"
    2024-3-29에 대전에서 열린 경기에서 한화가 KT를 상대로 3 대 2로 승리를 거두었습니다. 한화는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 주현상가 MVP로 선정되었습니다. 이번 승리로 한화는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-29에 대전에서 열린 경기에서 KT는 한화를 상대로 2 대 3로 아쉽게 패배하였습니다. KT는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 한화의 공세를 막지 못했습니다. 이번 패배로 KT는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,29,LG,키움,3,0,고척,엔스,"
    2024-3-29에 고척에서 열린 경기에서 LG가 키움를 상대로 3 대 0로 승리를 거두었습니다. LG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 엔스가 MVP로 선정되었습니다. 이번 승리로 LG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-29에 고척에서 열린 경기에서 키움는 LG를 상대로 0 대 3로 아쉽게 패배하였습니다. 키움는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 LG의 공세를 막지 못했습니다. 이번 패배로 키움는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,29,KIA,두산,4,2,잠실,최원준,"
    2024-3-29에 잠실에서 열린 경기에서 KIA가 두산를 상대로 4 대 2로 승리를 거두었습니다. KIA는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 최원준가 MVP로 선정되었습니다. 이번 승리로 KIA는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-29에 잠실에서 열린 경기에서 두산는 KIA를 상대로 2 대 4로 아쉽게 패배하였습니다. 두산는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 KIA의 공세를 막지 못했습니다. 이번 패배로 두산는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,30,KT,한화,5,8,대전,페라자,"
    2024-3-30에 대전에서 열린 경기에서 한화가 KT를 상대로 8 대 5로 승리를 거두었습니다. 한화는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 페라자가 MVP로 선정되었습니다. 이번 승리로 한화는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-30에 대전에서 열린 경기에서 KT는 한화를 상대로 5 대 8로 아쉽게 패배하였습니다. KT는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 한화의 공세를 막지 못했습니다. 이번 패배로 KT는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,30,NC,롯데,8,0,사직,신민혁,"
    2024-3-30에 사직에서 열린 경기에서 NC가 롯데를 상대로 8 대 0로 승리를 거두었습니다. NC는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 신민혁가 MVP로 선정되었습니다. 이번 승리로 NC는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-30에 사직에서 열린 경기에서 롯데는 NC를 상대로 0 대 8로 아쉽게 패배하였습니다. 롯데는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 NC의 공세를 막지 못했습니다. 이번 패배로 롯데는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,30,SSG,삼성,9,6,대구,김현준,"
    2024-3-30에 대구에서 열린 경기에서 SSG가 삼성를 상대로 9 대 6로 승리를 거두었습니다. SSG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 김현준가 MVP로 선정되었습니다. 이번 승리로 SSG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-30에 대구에서 열린 경기에서 삼성는 SSG를 상대로 6 대 9로 아쉽게 패배하였습니다. 삼성는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 SSG의 공세를 막지 못했습니다. 이번 패배로 삼성는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,30,LG,키움,3,8,고척,김휘집,"
    2024-3-30에 고척에서 열린 경기에서 키움가 LG를 상대로 8 대 3로 승리를 거두었습니다. 키움는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 김휘집가 MVP로 선정되었습니다. 이번 승리로 키움는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-30에 고척에서 열린 경기에서 LG는 키움를 상대로 3 대 8로 아쉽게 패배하였습니다. LG는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 키움의 공세를 막지 못했습니다. 이번 패배로 LG는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,30,KIA,두산,0,8,잠실,브랜든,"
    2024-3-30에 잠실에서 열린 경기에서 두산가 KIA를 상대로 8 대 0로 승리를 거두었습니다. 두산는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 브랜든가 MVP로 선정되었습니다. 이번 승리로 두산는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-30에 잠실에서 열린 경기에서 KIA는 두산를 상대로 0 대 8로 아쉽게 패배하였습니다. KIA는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 두산의 공세를 막지 못했습니다. 이번 패배로 KIA는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,31,KIA,두산,9,3,잠실,윤영철,"
    2024-3-31에 잠실에서 열린 경기에서 KIA가 두산를 상대로 9 대 3로 승리를 거두었습니다. KIA는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 윤영철가 MVP로 선정되었습니다. 이번 승리로 KIA는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-31에 잠실에서 열린 경기에서 두산는 KIA를 상대로 3 대 9로 아쉽게 패배하였습니다. 두산는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 KIA의 공세를 막지 못했습니다. 이번 패배로 두산는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,31,LG,키움,4,8,고척,헤이수스,"
    2024-3-31에 고척에서 열린 경기에서 키움가 LG를 상대로 8 대 4로 승리를 거두었습니다. 키움는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 헤이수스가 MVP로 선정되었습니다. 이번 승리로 키움는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-31에 고척에서 열린 경기에서 LG는 키움를 상대로 4 대 8로 아쉽게 패배하였습니다. LG는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 키움의 공세를 막지 못했습니다. 이번 패배로 LG는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,31,KT,한화,3,14,대전,이도윤,"
    2024-3-31에 대전에서 열린 경기에서 한화가 KT를 상대로 14 대 3로 승리를 거두었습니다. 한화는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 이도윤가 MVP로 선정되었습니다. 이번 승리로 한화는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-31에 대전에서 열린 경기에서 KT는 한화를 상대로 3 대 14로 아쉽게 패배하였습니다. KT는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 한화의 공세를 막지 못했습니다. 이번 패배로 KT는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,31,SSG,삼성,4,3,대구,전의산,"
    2024-3-31에 대구에서 열린 경기에서 SSG가 삼성를 상대로 4 대 3로 승리를 거두었습니다. SSG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 전의산가 MVP로 선정되었습니다. 이번 승리로 SSG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-31에 대구에서 열린 경기에서 삼성는 SSG를 상대로 3 대 4로 아쉽게 패배하였습니다. 삼성는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 SSG의 공세를 막지 못했습니다. 이번 패배로 삼성는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,3,31,NC,롯데,8,7,사직,레이예스,"
    2024-3-31에 사직에서 열린 경기에서 NC가 롯데를 상대로 8 대 7로 승리를 거두었습니다. NC는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 레이예스가 MVP로 선정되었습니다. 이번 승리로 NC는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-3-31에 사직에서 열린 경기에서 롯데는 NC를 상대로 7 대 8로 아쉽게 패배하였습니다. 롯데는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 NC의 공세를 막지 못했습니다. 이번 패배로 롯데는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,4,2,NC,LG,7,5,잠실,김성욱,"
    2024-4-2에 잠실에서 열린 경기에서 NC가 LG를 상대로 7 대 5로 승리를 거두었습니다. NC는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 김성욱가 MVP로 선정되었습니다. 이번 승리로 NC는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-4-2에 잠실에서 열린 경기에서 LG는 NC를 상대로 5 대 7로 아쉽게 패배하였습니다. LG는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 NC의 공세를 막지 못했습니다. 이번 패배로 LG는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,4,2,두산,SSG,6,13,문학,양석환,"
    2024-4-2에 문학에서 열린 경기에서 SSG가 두산를 상대로 13 대 6로 승리를 거두었습니다. SSG는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 양석환가 MVP로 선정되었습니다. 이번 승리로 SSG는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-4-2에 문학에서 열린 경기에서 두산는 SSG를 상대로 6 대 13로 아쉽게 패배하였습니다. 두산는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 SSG의 공세를 막지 못했습니다. 이번 패배로 두산는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,4,2,KIA,KT,6,10,수원,고영표,"
    2024-4-2에 수원에서 열린 경기에서 KT가 KIA를 상대로 10 대 6로 승리를 거두었습니다. KT는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 고영표가 MVP로 선정되었습니다. 이번 승리로 KT는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-4-2에 수원에서 열린 경기에서 KIA는 KT를 상대로 6 대 10로 아쉽게 패배하였습니다. KIA는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 KT의 공세를 막지 못했습니다. 이번 패배로 KIA는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
2024,4,2,롯데,한화,1,0,대전,최인호,"
    2024-4-2에 대전에서 열린 경기에서 롯데가 한화를 상대로 1 대 0로 승리를 거두었습니다. 롯데는 경기 내내 뛰어난 활약을 펼쳤으며, 특히 최인호가 MVP로 선정되었습니다. 이번 승리로 롯데는 다음 경기에서도 좋은 성적을 기대할 수 있을 것으로 보입니다.
    ","
    2024-4-2에 대전에서 열린 경기에서 한화는 롯데를 상대로 0 대 1로 아쉽게 패배하였습니다. 한화는 경기 초반에 좋은 출발을 보였으나, 후반에 접어들며 롯데의 공세를 막지 못했습니다. 이번 패배로 한화는 다음 경기에서 더 나은 성적을 기대하고 있습니다.
    "
