title,content,category
경기 관람 잘 했습니다.,방학 맞이 해서 아이들과 처음으로 축구 관람 했습니다.tv에서만 경기 보다가 직접 관람 하니 생동감 넘치고 재미있었습니다. 날씨가 조금 덥긴 했지만 아이들과 좋은 추억 만들었네요축구 관람 첨이라서 경기장 반입 음료 규정을 잘 몰라 당황 했네요경기 관람 가실분들은 캔 음료 반입 안되고 600이하 패트병만 가능하니 참고 하세요~~!!,4
끝까지 열심히,"이제 얼마 남지 않은 시즌
끝까지 열심히 최선을 다해서 해냈으면 좋겠어요
화이팅",4
가깝고 재밌었습니다 진게 아쉽지만,"예매도 편히하고 자리도 나쁘지않았습니다
가성비너무좋은자리였던 
단지 경기를 진게 아쉬웠어요",4
K2도 K1만큼 치열하다,"첫 직관이었던 K리그2. 서울이랜드와 부산아이파크의 경기.K리그 클래식만큼 사람이 많지 않아서 오히려 좋았뎐 경험이었다.선수들도 더 가까이 보고, 경기에도 더 집중할 수 있었다.서포터즈 수는 적었지만, 응원 열기만큼은 여느 큰 구단에 뒤지지 않았다.응원 열기도 바로 느낄 수 있어서 축구장에 온 기분을 더욱 느낄 수 있었다.K리그2라서 재미가 없을 것 같다는 인식이 있을 수 있는데, 직관을 해보면 확실히 다르다.기회가 된다면, 꼭 직관을 경험해 보시길 추천!",4
드디어 홈 첫승~!,5월 직관이후 홈 6경기째 방문에서k2리그 2위 전남드래곤즈를 1:0으로 극적으로 이겨버렸네요아이가 내심 자기가 보러오면 계속져서 속으로 의기소침해 있었는데너무 좋아하네요~!다음 안산경기도 또 갈꺼에요~,4
천왕산 캠프,"처음 캠프이용을 했다.
날씨가 덥고, 해가 있는 시간에는 이용하기가 어려웠다
야간에는 좀 시원했는데, 옆 텐트에 술마시러 온 사람들이 새벽까지 시끄럽게 떠들어서 잠을 설쳤다. 그래서 아침에 일찍 일어나기가 어려웠는데, 해가 뜨면 더워서 철수할 수 밖에 없다. 단지 텐트치고 음식해 먹고... 이벤트 거리가 부족하다",4
잘보고 왔어요,축구광인 아들이 수원FC 윤빛가람 팬이라 더운 날이지만 애매를 인터파크 통해 쉽게 했습니다 ~ 모바일 티켓으로 바로 입장해서 ~ 자리도 미리 예매한 덕에 좋은 자리로 겟 ! 덥긴하지만 생동감 있는 경기 신나게 보고 왔어요 ~ !! 다음에도 기회 되면 예매해서 보러갈래요 ~~,4
폭염에 시원하게 보내고 왔네요,"2인용 카라반 아담하니 너무 좋았어요
3인 가족이 지내기에 딱 좋네요.
다음에는 4인 카라반 도전해요",4
재밌게 잘 봤습니다.,게임이 길어진게 오히려 좋았습니다.다음에도 예매 성공하면 꼭 보러 가려구요 ㅎㅎ,4
천안 찢었드아~!!!,"천안 홈경기 첫 승~!!!!!!!
툰가라 데뷔 골~!!!!
잘한드아 우리 천안~~!!!!!
우리 천안시티FC선수들 사랑합니다.
응원합니다.??",4
즐거운 시간,편하게 인터파크에서 티켓을 구매 후 줄 안서고 가변석에서 열심히 응원도 하고 즐거운 하루였던거 같아요^^인터파크 응원합니다.,4
굿,재밌어용ㅎ,4
lck,더 넓은데로 가주삼,4
재미따,잼서요,4
역시 예매는 인터파크,앱 이용하기도 편리하고 보기도 좋아요,4
잘보고 왔어요,모바일티켓이 확실히 편한거 같아요,4
기캐쵸페리 화이팅!,젠지 화이팅,4
최고최고,최고최고,4
최강두산!,두산~ 그대의 이름은 승리! 점수를 너무 많이 내줘서 힘빠졌지만 그래도 응원은 재밌었어요!,4
Good,잘봤습니다! 다음에 또 기대할게요,4
재밌...어요,재밌네요,4
굿굿,잘봤습니다!!!!!,4
재밌었어요.,첫 2부리그 직관인데 골도 풍성하게 나오고 좋았습니다.,4
재밌어요,예상못한 설정과 전개. 재밌게 봤습니다,4
돔구장,시원하고 좋아요~~~,4
이랜드 부산 경기 진심,너무 아들이랑 재미있게 관련하고 응원하고 즐거웠습니다.너무 좋은경기 관람하게 진행하게 해주셔서 감사드립니다.다음에 다시한번 예약을 진행하겠습니다.감사합니다.,4
상당히 만족스런 LCK관람,관계자 스텝분들이 질서정연하게 안내해주셨고 관람석은 정말 깨끗했습니다. 관람하는내내 불편함 하나없이 재밌게 즐겼습니다. 기회가 된다면 또 가고싶어요! 감사합니다.,4
수원fc,너무 재미있었고 다음에 또 가고싶네요!,4
한달만에 본 경기!,신나게 노래부르면서 집가게 해줘서 고마웠던 날,4
이겨줘..,수��....제발 이겨줘ㅠㅠㅠㅠㅠ 심판 편파판정에도 당당해질수 있도록 노력해줘...,4
잘보고왔습니다,재밌게 잘 즐겼습니다,4
다음에도 또 올려구요,완전 재밌게 잘보았습니다. 예매는 어려웠지만 보람찬 하루였습니다.,4
처음 다녀온 킨텍스 캠핑장,"예약하기 하늘에 별따기만큼 어렵게 성공해서 주말에 드디어 다녀왔는데, 좋긴 좋네요~ㅎㅎ
나름 조용하고 시설들이 깔끔하게 되어있어서 행복한 시간 만들고 왔습니다. 원하는 날짜에 예약하기는 어렵지만 또다시 도전해서 갈 예정입니다.",4
오스마르선수 응원합니다,"오스마르선수 멋지게 한골 
항상 응원합니다",4
오스마르 응원합니다,오스마르 선수 응원합니다,4
아쉽지만 할수있다 수원~!!,"4가족이 모두 참가한 첫번째 경기였습니다.
우선 더운 날씨에 양측 선수들 모두 고생하셨습니다. 수원FC가 경기가 조금 더 잘풀렸으면 좋았겠지만 상대측 선수들이 더 열심히 뛰었던 결과였던 것 같습니다.
하지만, 수원FC 선수들 다음 경기에는 승리해서 기쁜 소식을 전해줬으면 좋겠습니다.
할 수 있다 수원~!!",4
황홀한 야경,"완전히 어두워지기 전에 올라가서 더욱 좋았어요, 여름밤 황홀한 경험이었습니다.",4
야구경기,이 더운 여름에 고척돔에서 경기보기 너무 시원했고 즐거웠습니다,4
다 좋은데 샤워장 불만족,"샤워대수가 부족하고 9시부터10시까지 청소시간
씻을시간인데 청소를 하다니ㅜ 
11시부터 청소 시간 변경 하는게 좋을것 같아ㅛ

샤워대수가 6개인데 1개는 고장 
부족해서 대기하고있는중",4
여름엔 시간 구애 받지 않는 피크닉장 으로,다좋은데 여름에 더워서 오후늦게가서 고기만 구워먹고옴,4
이용 후기(첫 방문),"카라반 2인 장단점
카라반 관리가 깨끗하게 잘되어 있어요.
침대도 넓어 자는데 큰 문제 없어요
그릇, 식기, 구성도 좋아요
계수대, 밖에 화장실이 깔끔했어요
밖 뷰가 너무 좋아요

카라반 위치 기준으로 매점까지 걸어가는 거리가 있어요
티비는 있는데 ott기 안되어 있어요 개인 크롬캐스트가 있다면 가져가는게 좋습니다.",4
좋아요^^,"합리적 가격. 친철한 직원분들
모는것에 만족해요^^",4
야구 너무 재밌개 보구옴,인터파크덕에 매일 편하게 표사고 다녀옵니더 한화화이팅!!!!,4
고척 최고,고척돔에서 야구를 보니 시원하고 외야인데도 시야가 좋았어요,4
캠핑장 자체는 좋은데 역시 이웃을 잘 만나야 하네요..,"깨끗한 부대시설, 친절한 관리실, 넓은 사이트
내가 예상하지 못한 단 한 가지!!

에어컨을 키기 위해 시동을 키고 잠든 이웃 사이트!!

고되고 고되다!!!",4
Lck 재밌어요,직원분들 친절하고 재밌게 봤습니다,4
승리의 KT,정말 최고였어요????,4
케빈하우스 사용후기,"시설이 깨끗하고 이용료가 적당해서 좋았습니다.
특히 에어컨 작동이 빵빵해서 시원하게 잘 지내고 왔습니다.

좀 아쉬웠던 점
● 수건 미비치
● 차량 1대만 출입허가",4
친절하고 사원한 캐라반,2인실이라 살짝 좁았지만 깨끗이 잘 관리되어 있었습니다. 다만 야왼 모기가 장난 아니예요 ㅎ,4
구장관리 엉망,"전국에서 제일 비싼입장료를 징수하면서

전담 구장 관리인도 없어 
잔디는 무성하게 키워서
공이 굴러가지도 않고 

그린주변은 정리가 
않되어 울퉁불퉁 도대체 
서부사업소 담당자들은 뭘하는건지?

별 1점주기도 아까움",4
매번 재밌는 경기 직관,"저는 이번년도부터 경기를 보러 다니기 시작했는 
확실히 집에서 보는 경기보다 직관하는 것이 
분위기도 다르고 더 재밌는 것 같아요.
선수 분들도 만날 기회도 생기고 여러 경험을 할 수 있어서 직관이란 것은 좋은 시도라고 생각합니다!
그래서 직관을 한 번도 가보지 못하신 분들에게도
추천합니다. 경기 직관 뿐만 아니라 나중에는 콘서트 같은 큰 공연도 보러가고 싶어요.
다들 행복한 티켓팅하시길 바랍니다!",4
두산 화이팅,베어스 화이팅,4
모바일티켓 편하고 좋아요,모바일 티켓을 받아 함께 가는 이들에게 선물로도 보내고 입장하니 편하고 좋았습니다. 날씨가 무지 덥긴 하지만 야구관람의 열기가 무더위를 이기는 것 같습니다. 다음에도 이용할께요!,4
고척 돔구장 직관,"아들이랑 고척 돔구장 직관 다녀왔어요

타 팀이라 고척은 처음인데 요즘같은 날씨에는 고척 돔이 최고네요!!

비록 경기는 졌지만 시원해서 아들이랑 즐겁게 응원하고 왔어요",4
두산 vsl lg 패하긴 했지만,"뜨거운 응원열기 우렁찬 함성!!
프로야구 직관은 이맛에!~~",4
고척이라 더 상쾌했던 관람,"무더운 날씨에 숨이 콱콱 막혀도 시원한 고척 돔에 들어가면 마냥 행복해지지요. 그래서 팀을 응원하는 마음도 한결 신이 납니다. 이번 경기는 팀이 이겨서 더더욱 행복했습니다. 경기장도 한 눈에 잘 들어오고, 구일역 바로 옆이라 교통편도 아주 최적입니다. 돔이라 그런지 응원하는 목소리도 아주 커서 더더욱 응원할 맛이 납니다.",4
강추!!,"모바일티켓은 처음이었는데 입장하기 너무 쉬운거 있죠?원래는 지류티켓을 좋아하는데, 퇴근하구 입장줄이 너무 길어서 시작 시간 놓칠까바 모바일 티켓으로 처음으로 해봤습니다!너무 편하고 좋더라구요!!다음에도 일찍 가지 못할 때는 모바일티켓으로 할거에요!야구장은 너무 재밌었어요!!덥긴 한데, 이제 슬슬 늦은 저녁엔 바람이 부는 것 같더라구요!!경기 결과는 그렇지만,,간만에 응원 크게해서 너무 재밌었어요!!감사합니둥~!",4
무더위엔 고척!,승리를 위한 함성~워어어어어,4
재밌었어요,이겨서 재밌었습니다ㅠㅠㅠㅠㅠㅠㅠㅠ~~~~~~~~,4
키움히어로즈 관람후기,너무 재밌었어요~!,4
최고였어요!!!,롤파크 직관 진짜 최고예요!!!!,4
재미있게 신나게 통쾌하게~,"무더운 여름~!
시원하고 재미있게
고척돔에서 진짜 짜릿하고 통쾌한 경기를 즐겼습니다~! 
아이들과 함께 신나게 응원하면서 오랜만에 스트레스 확~~ 풀었습니다~! 
아이들도 무더위에 집에서 오랜만에 탈출하여 좋아하는 선수를 응원하면서 신나고 즐거운 시간을 잘 보냈습니다~! 더 좋은 경기! 짜릿한 경기! 기대할게요~^^! 무더운 여름날에도 최강영웅 승리의 키움~! 기대하겠습니다~! 화이팅~^^!!",4
테이블석,테이블석에서 경기 보니까 너무 편하고 좋았어요!,4
졌어도 위닝이자나 ~,우리가 더 안 더운 날 졌잖아? 완전 럭키 두산이자나~,4
여윽시 고척돔~~,돔구장이라서 덥지 않고 쾌적한 환경에서 관람할 수 있었다. 응원 분위기도 뜨거워서 경기를 보는내내 집중해서 볼 수 있었다.^^,4
엘지vs두산,승리를 하게되면서 두산직관 첫 승을 하게되었기 때문에 매우 즐겁게 보았다,4
엘두전은 진리다!,에르난데스의 강력한 피칭숨죽이던 타선의 폭발되살아난 주루와 필승조의 견고함이 모든것을 볼수 있어 좋았습니다!! 엘지 화이팅!,4
LG트윈스 화이팅!!,무더운 날씨였지만  연패를 끊은 LG경기!! 넘 짜릿하다..  LG  연승가자~~~~~,4
야구장은 언제나 옳다,LG 원정 경기라 응원석 예매하고 응원했는데 목 터지도록 한 듯....... 어쩌면 나 야구장을 좋아하는 걸지도?,4
야구 관람 후기,두산이 이겨서 너무 좋았어요,4
첫 직관,"첫 직관한 발로란트 경기 대박이었습니다.
응원하는 팀은 못봤지만 스킬좋은 다른 나라팀의
경기를 직접 볼 수 있어서 좋았습니다.
다른 관객들과 응원하는 마음으로 즐기고 왔습니다.
갖고 싶었던 굿즈도 샀습니다.",4
카라반 에어컨 성능,"날이 더운탓도 있겠지만
에어컨 용량이 적은건지 풀로 틀어도 너무 더웠네요
바닥 청소도 미흡해서
모래가 발에 밟혀서 물티슈로 닦았어요",4
8월7일 엘지두산,비록 졌지만 오랜만에 잠실 라이벌전이라 제미있었다,4
즐거운 경기였어요~,날씨 엄청더웠지만 조카와 함께 즐거운 경기를 관람해서 좋았네요~~,4
시흥시 최고의 캠핑장,관리하시는 분들도 친절하시고 시설도 깨끗하게 잘 관리되고 있습니다. 전기도 1kw라 미홀 에어컨 K2 피크쳐도 안꺼지고 잘 돌아갑니다.,4
키움 고척 홈경기,여름에도 시원하게 야구경기를 관람할 수 있어서 가족 모두 너무 좋았습니다,4
변했어요 캠핑장이,"개인입찰후 요금은 올리고
고기굽는 존을 맹글고
빡빡하게 캠핑카 들여놓고 
예약방법도 난해해지고 ㅠ

매력이 없어졌어요",4
직관 잘 봤습니다,직관 잘 봤습니다. 저는 케이티 응원하러 취켓팅 너무 힘들었는데 응..... 좋은 저녁 잘 보냈어요,4
두산최고,ㅎㅎㅎㅎㅎㅎㅎ,4
최강두산 승리고고,ggggggggg,4
럭키비키잔앙~????,"잠실 맛집을 갔는데 야구경기를 보여주잖앙!!
이거 완전 럭키비키잔앙????

연속2일갔는데 계속 패할거면 승부욕 생겨서 또 티켓을 사고 인터파크VIP 만들어주잔앙 럭키비키니시티잔앙????",4
쓱 야구관람,역시 더운날은 돔에서 시원하게 야구경기 좋아요,4
정말 신납니다!,"두산 화이팅!!서울의 주인은 누구다?바로, 두 to the 산!",4
야구관람,라이벌전 예매도 수월하고 티켓 예매는 인터파크티켓이 최고인것같습니다.,4
패배로인한 아쉬움,"급하게 예약까지 매우 좋았으나, 응원하는 팀인 LG에 패배로 아쉬웠네요.. 감사합니다.",4
챔피언스,너무 좋았습니다 현장감이 엄청납니다 다들 한번씩 가보세요,4
챔피언스,너무 좋았습니다 현장감이 엄청납니다 다들 한번씩 가보세요,4
시원한 고척에서의 3연전 중 2번째 경기,"고척이 확실히 돔구장이라 더 시원하더라구요
Ssg 가을가보자…!",4
맨압에서 직관,"가까이 선수들 보며 응원하니 더 절실하더라구요.
오늘은 우리팀이 부진했지만 다음엔 파이팅~",4
두번째 가보는건데 시야 너무 좋아요,"한눈에 다 보이고 응원석 주변이라 야구장 처음 방문하는거면 이 자리가 좋겠네요 승리요정이 되었습니다~~
다만 너무 더워요",4
고척 ssg vs 키움,"너무 재밌었어요 열심히응원해서 목청도 터지고
아주 레전드였습니다.",4
아쉬운 경기,LG쪽에서 봤는데 져서 아쉬웠지만 멋진 경기를 펼친 선수들에게 박수를!다음에는 이기기를,4
좋아요,Awesome!!!잠실 라이벌전다운 치열했던 경기두산은 역전을 허용하지 않았고 엘지는 따라가지 못했다!,4
최고의 경기,SSG가 리드했던 경기였다다음에도 또 보러올것이다,4
두산 엘지,응 두산이 발라욘,4
존잼,내가 여태 직관으로 봤던 야구중에 제일 재미있었음! 홈런 처음봤음! 무려 홈런치기 어렵다는 잠실구장에서!!,4
두산 엘지,두산이 최고다 제일 최고다 가즈아아아아아ㅏ아아아앙아ㅏㅇ앙,4
간편하고 좋아요,비록 지긴했지만 재미있었어요,4
무더운 여름 야구,"인터파크 사태 이후 불안했는데, 베너부터 시작해서 안심을 시켜주었다.경기 역시 너무 재밌게 보았다. 엘지 대 두산이라 만석은 아니었지만, 많은 관중들과 함께했다.더운 여름날 이었지만, 너무 재밌었다.kbo 화이팅",4
덥지만 즐거운~~그래서 행복한,"두산~~!!
연승의 기쁨을 인터파크와 함께 했습니다~
가족 모두 즐겁고 무더위를 떨칠 수 있는 최고의 경기였습니다.
인터파크로 구매한 야구관람 최고였습니다~~!!",4
키움아 응원한다~,"엘팬이지만 친구네 팀이라 응원하구요
기아 이겨줘서 고마웠어요..ㅠㅜ",4
LCK KDF vsNS 직관 후기,"선수들을 직접 보는것이 가장 큰 장점이지 않을까 싶구요 ...그리고 생각보다 인터파크 티켓 예매는 좀 어려운감이 없지않나 생각합니당..ㅠ
하지만 되면 큰 뿌듯함은 엄청 나서 4점 정도 드립니다",4
여름엔 고척돔에서만 야구했으면 좋겠어요,입장 하자마자 시원해서 살 것 같았습니다 크림새우는 많이 먹어서 질려서이번엔 그냥 스테프 핫도그랑 홈런볼만 샀는데 맛있게 먹으면서 쾌적한 야구장에서야구도 재밌게 봤습니다!!고척돔 최고 ㅠㅠㅠ,4
혼야,첫 혼자 야구장 직관이었는데 이거 꿀잼이네요! 외야에 앉았는데 생각보다 혼자 오신 분들이 많더라구요 신나게 응원하고왔어요!! 다들 혼야 팟팅입니당,4
너무너무 재밌었고 좋은 경기였습니다!,야구를 안 좋아하는 사람들도 야구장을 거치면 어느순간 야구를 좋아하는 사람이 됩니다 야구직관에 시작이 야구입문에 계기가 되는 것 같습니다 야구장 음식 부터 응원 낭만이 넘치는 곳 바로 잠실야구장입니다 한 번도 야구장을 안 가본 사람은 있어도 한 번만 야구장을 안가는 사람은 거의 없을 정도로 좋은 추억이 되였고 너무 행복한 하루를 보냈습니다!,4
강석근 해설사님 감사합니다!!,"너무 알찬 시간이었습니다.
장소 마다 있었던 역사적 사실을 옛날이야기 처럼 재미나게 설명 하셔서 시간가는 줄 모르고 이야기에 빠져들었습니다. 포토 포인트에서 사진도 다 찍어주셔서 멋진 추억을 남길수 있어 좋았습니다.

조금 더웠지만 휴대용 선풍기나 부채 ,마실물, 해지면 모기가 나오니까 모기 기피제 정도 챙기시고 방학 끝나기 전에 아이들과 다녀오시면 좋을것 같아요.",4
너무나 재미있는 경기였어요.,저는 SSG 좌석에서 봤습니다. 시설도 너무 깨끗하고 좋았어요.경기 또한 팬을 떠나 너무 재미있는 즐거운 경기였습니다.,4
엘두전 관람,앱으로 예매해서 따로 현장 발권하지 않고 들어갈 수 있어서 좋아요! 예매 과정도 복잡하지 않고 간편해서 좋았어요 이번에 예약한 좌석이 너무 좋아서 선수들 표정까지 보이더라구요 다음에 또 가고 싶어요!,4
행복한 시간,마음 깊이 따듯해지는 시간이었습니다,4
아들과 야구관람,"서로가 스케줄이 맞지않아서, 같이 야구장에서 관람을 처음으로 했는데, 너무너무 좋았네요~
좋은 추억이 하나가 더 생겨서 고마워요.

다음에도 계속 같이 가야 할 듯하네요 ㅋㅋ",4
직관,"휴가중에 고척 돔에서 직관
크림새우 먹고 맥주 커피 순대 먹고
다음 예매는 3층보다 좋은 1층으로 해야 겠다
돈 많이 벌어서 주식 박살나서 언제 직관 갈 까 
주식아 어서 올라라",4
아쉽지만 재미있는 경기,LG가 초반에 5실점 하면서 자칫 지루한 경기로 흘러가지 않나 싶었지만 6:7까지 따라가면서 흥미진진했던 경기였습니다.,4
테이블석 최고,테이블석 최고! 즐거웠으나 내 팀이 져서 별 네개 드립니다,4
딸램 인생사 두번째 직관,한국이 아닌 해외에 거주중인 재외국민인 딸램 인생사 두번째 직관이었는데아쉽께 또 패배의 쓴맛을 봤네요폭염속에 현장 직관 걱정이 많았는데 다행이 큰 탈 없이 마무리 했다고 하네요저는 귀국을 못해 집에서 TV중계로 언제 한번 잡히나 눈에 불을켜보 봤지만전체화면으로만 나와서 누가 누군지는...ㅎㅎ이번에 다시 돌아오면 내년에나 기회가 될텐데 갈수록 커가는 녀석 그래도 같이 응원함서 볼수 있는야구라 흐뭇하긴 합니다내년에는 아빠랑 또 승요되는 맛을 보러 직관가자~~~^^,4
재밌었다,추격 끝까지 했지만 1점 차이로 졌다에러 3개 내는데 그래도 따라간 것까지 칭찬해주고 싶다근데 항상 따라가기까지만 한다. 가끔씩은 진짜 역전을 보고 싶다,4
챔피언스 개꿀잼,진짜 그 열기와 함성소리를 들으며 경기를보니 진짜 재밌었다,4
김택연,경기는 18:30분 부터 22:30분 가량에 끝난 4시간 정도 경기를 하였고 양팀의 타선들의 폭발로 매이닝 접전이였으며 점수차도 1점차게 두산의 에이스 차기 국대 마무리 김택연 선수의 5아웃 세이브로 더 짜릿한 경기였습니다,4
.,두산 화이팅,4
다 좋았는데...너무 좋아요 좋은데...,"다 좋았는데.. 팀을 잘못선택했네요............
이 더위에 야구 경기로 도파민 얻을 수 있어서 좋았어요!!
예매할 때까지는용............
그래도 역전할 뻔 했어서 응원하면서 재밌게 봤어요
티켓 발권 편해서 오히려 무인 발권기를 안찾게 돼요
그냥 역에서 나오자마자 인터파크 티켓이라고 써져있는 데에 예매번호 보여주시면 생년월일 물어보시고 바로 발권해주세요!
일 끝나자마자 간거라 늦을 뻔 했는데 덕분에 빨리 입장했어요
다음에 갈땐 꼭 이기길 바리며....",4
첫 고척스카이돔 방문,최강야구 덕에 오랜만에 야구가 보고 싶어 부인이랑 딸이랑 다녀왔다. 이 한 여름에 이렇게 편하게 시원하게 직관할 수 있어 대만족이었다. 기회가 된다면 자주 방문하고 싶은 맘이다. 잠실야구장도 이런 돔 구장으로 새롭게 만들어지면 좋겠다,4
잠실야구장,"8월 한 여름에 잠실 야구장을 찾아 선수들이 직접 야구를 하는 모습이 너무 대단 했다.하지만 우리 나라 현실이 아쉽기도 했다.35도의 무더운 날씨에 선수들과 응 원단들의 담흘려 가며 시합과 응원 하는 모습이 멋있기도 하고 한편으로는 더위에 대한 절규같기도 했다.점점 더워지는 날씨에 맞춰서 야구장도 빠른 대쳐가 필요 하다고 생각이 든다.응원하다 쓰러지는 사람 , 시합하다가 쓰러지는 운동선수들이 발생 하는 불상사가 나오기전에 미리미리 대처를 해야 될것 같다.소잃고 외양간 고친다는 속담이있듯이...그래도 야구는 직관이다.",4
너무재밋어요!!!,"역시 우리 쓱 너무 잘해효~!~~! 2루타로 점수 계속내는거 너무 재밌고 신났습니다,,!~!~!~~~~~!!!!!!",4
두산대엘지,"초반에 대량실점이 승패를 결정했다.
두팀은 쉽게 승부가 나지않는다
아쉽지만 2,3차전 승리로 윈닝시리즈로 마무리",4
미친 경기력,더운 여름밤 무더위를 날려주는 경기력이였어요??,4
캠핑장~,텐트치고 숯불에 바베큐도 먹고 수영도 하고 너무 행복한 캠핑이였어요. 강추입니다.~^^,4
너무 즐거운 관람이었습니다,외야 4층도 경기 잘 보이고 돔구장이라 쾌적합니다,4
고척돔 야구관람,"집에서 걸어갈수있는.고척돔.오랜만의 야구.즐거웠다
준비해간 야채전 샌드위치 커피 과일 먹으며 남편과
행복한시간을 보냈다",4
졌지만 시원하다,고척에서 보시오.. 행복해요.. 져도.. 져도.. 져도...... ㅠㅠ,4
여름에 짱,여름에 시원한 고척돔에서 야구보기 너무 좋아요,4
너무덥지만 이겨서 좋아요,너무더웠지만 이겨서 좋아여,4
직관후기,김택연 사랑해,4
처음가본 글램핑,"안성맞춤캠핑장은 일반캠핑으로 다녀봤어요^^
이번에는 글램핑을 운좋게잡아서 다녀왔는데 시설도 깨끗하고 편하고 너무 좋네요^^",4
처음가본 글램핑,"안성맞춤캠핑장은 일반캠핑으로 다녀봤어요^^
이번에는 글램핑을 운좋게잡아서 다녀왔는데 시설도 깨끗하고 편하고 너무 좋네요^^",4
공연 잘봤습니다,좋았어요!!!!!,4
야구 데이트?ㅎㅎ,동생이랑 야구장갔어요ㅎㅎ끝날때쯤 비가왔는데 비 맞으면서 치킨먹고 나름 낭만?ㅎㅎ잼났어요,4
너무 무기력하게 졌어요ㅜㅜ,질질...끌려가는..,4
최고!!,너무 재밌었어용,4
역전패..했지만,"9회까지 치열하게 재밌게 봤습니다!
자리가 너무 좋았네용",4
무지더웠지만 재밌다,"무지더웠지만 재밌었다 .
다음날 폭염으로 경기취소~~  행운의 사나이. 
굿럭",4
너무 재밌었어요!!!!,"항상 좋은 공연 , 콘서트 제공해주시는 인터파크 감사합니다 너무 재미있게 봤습니다!! ㅎㅎ",4
최강기아??????????,기아사랑해,4
키움,초반에 실점 많이하긴 했지만 마지막에 타선이 점수내서 그나마 볼만함,4
너무 재미있는 뮤지컬,"기대를 하고 본 뮤지컬, 음악 연기 등 모든것이 완벽했습니다. 너무 재미있게 봤습니다.",4
재밋당,재밌어용,4
굿,키움 히어로즈 고양 히어로즈 화이팅,4
엄청 더웠지만 즐거웠습니다!,하필 엄청 더운날 가서 되게 고생하고 경기도 대패하고 ㅠㅜ그래도 같이 응원가 부르면서 신나게 응원하고 왔네요.역시 야구장은 그런 맛이죠!!,4
너무 더웠지만 즐거웠습니다.,하필 엄청 더운날 가서 되게 고생하고 경기도 대패하고 ㅠㅜ그래도 같이 응원가 부르면서 신나게 응원하고 왔네요.역시 야구장은 그런 맛이죠!!,4
연천 재인폭포 카라반,최고예요.  깨끗해요,4
응원,"생각보다 응원하며 보니 좋았어요

진주에서 6시간 차타고 달려가서 응원했습니다",4
뜻깊은관람이었어요!!,날씨가 너무 너무 더워서 제대로 관람을 못하기는 했지만.뜻깊은 관람이었네요!!아버지가 좋아하셨어요!!,4
