title,content
호기심 많은 아이들에게 설명하기 어려운 부모까지 모두에게 최고의 뮤지컬,"처음 이 뮤지컬을 접한건 지역 맘카페 이벤트 글로 알게되었다.
너무 응모하고 싶었지만 워킹맘에겐 맞추기 어려웠던 공연시간… ㅠㅠ 

응모는 포기했어도 꼭 보여주고 싶단 생각은 여전하여찾아보니 여름휴가에 맞춰 보여줄 수 있게 되었고!

때 마침 아들둘(11,8세)를 키우는 엄마에겐 항상 어렵게만 느껴졌던 성 교육에 관련된 뮤지컬이라니!
사막에서 오아시스를 만난 기분이였달까?ㅋㅋ

집에 여러 파충류와 동물을 키우다보니 자연스럽게 짝짓기에 대해 관심을 가지게 되면서 아기는 어떻게 생겨?로 까지 이어진 호기심 대왕들!

상세히 설명해주기 민망+어려움은 모든 부모님의 마음일거라 생각하며 아이들에게도 관람 전 날 어떤 공연인지 알려주니 엄청 신나한다!

공연 중 배우님들의 맑은 목소리+연기력+탄탄한 내용 구성 덕분에 어른인 나도 시간 가는 줄 모르고 흠뻑 빠져들 정도로 너무 유익한 공연이였다.

보고 나오면서 또 보러오면 안되냐고 하는 아이들의 후기를 보면 아이들 또한 최고의 공연이라 느낀듯 하다.
한참 호기심 많은 아이들에게 강추 또 강추한다!

인스타:niel.on_luv"
재밌어요,또 봐도 재밌어요~!
제이~!!,"예상한 것과 달리 액션뿐 아니라 코믹도 있는 작품이었어요
쉴새 없이 넘어지고 뒹구는 액션에 제이가 자꾸 눈길이 가다 어느 순간 제이만 보고 있었어요.
아쉬운 부분이 있다면 국장의 총소리가 너무 작았어요. 
그래서 총소리에 놀라진 않겠지만요.
전쟁이라는 무거운 주제를 무겁지 않게 잘 봤습니다."
등등곧 짱,재연 오세요~!!!
등등곡 재연 올거죠?,"안오면... 울건데....
조건은 대본만 손보기.... 넘버 건들지 않기....
약속...."
다시 또 보고 싶은 작품이예요.,"너무 재밌게 봤습니다.
배우님들 너무 잘하시는데 특히 여자 배우님들 멋있었어요."
스파이.....!,"첫공이라서 그런지 조금은 어수선하고 러닝타임이 너무 길다는 느낌을 받았습니다. 하지만 무슨 말을 하고 싶은지는 알겠고, 배우들의 열연을 볼 수 있었습니다."
지금 시기에 꼭 봐야만 하는 뮤지컬!,"넘버 중에 어둠이 빛을 내어 �i는다 해도 마침내 진실은 들어날거야 라는 가사가 있는데 정말 공감되는 넘버 가사였습니다. 에밀이 억울하지만 진실이라는 정의를 위해서 그것이 작가의 사명이라고 생각하는 에밀의 굳은 의지와 멋짐을 동시에 볼 수 있는 뮤지컬이었습니다. 이 부조리가 만연한 시대에 에밀이라는 사람은 특별하게도 특이하게도 보이지만, 나중에는 에밀 같은 사람이 만연해지고 평범해지면 좋겠다는 생각을 했습니다. 좋은 뮤지컬 감사합니다."
오케스트라,오케스트라소리가 너무 커서 배우들 대사가 묻히는 감이 있었습니다. 이런 쇼뮤지컬 형식이 제게는 안맞는 것 같아요ㅠ 그치만 같이 간 친구는 너무 재밌었다고 하더라구요. 배우와 관객이 같이 호흡하고 즐기는 뮤지컬을 좋아하신다면 한번쯤 보셔도 좋을 것 같습니다
"석준, 기범 페어 넘 최고야!!!!!!!!!!!",1막 끝나고 바로 내가 왜 한번만 예매했을까하는 후회를 엄청 했어요!!!석범페어 왜 표 없는데ㅜㅜㅜㅜㅜ 다시 한번만 더 보고싶어여ㅜㅜㅜㅜ누가 저에게 표 좀...................주세여....................
회전,좀더 해주세요
주제가 가지는 무거움이 있는데,대사나 넘버가 너무 한없이 가벼워요!
잼써요,재밌습니다
''세상에 혼자가 된다는 절망 속에 빠트리리라'',"앞으로도 20주년, 30주년 대한민국의 명실상부한 창작뮤지컬로 많은 사랑을 받는 작품으로 남기를!"
막공까지 감사했습니다,여름 내내 미오 프라텔로 덕분에 너무 즐거웠습니다몇 번을 봐도 질리지 않았어요
쿤만투~,개그신을 보고 한참 웃다가도 후반부에서는 눈물을 줄줄 흘리게 되는 공연 ...
별을 기다려,볼 때마다 넘버들이 점점 좋아져요.별을 좋아하는 분들이라면 누구나 이들의 이야기를 들으러 오셔야 합니다 ...
모든게 이쁜 뮤지컬이예요,"배우분들도 무대연출도 너무 이뻐서 반짝반짝 빛나는 시간이였습니다.이홍기님 딕션 너무 좋고 노래 너무 잘하고 고등학생 배역에 평소 성격이랑 안맞는 소심쟁이 역인데요 이질감없이 너무 잘 맞아 놀랐습니다. 눈물연기도 최고였어요!정지소님 배우인데 노래도 잘하시고 정말 이쁘더라구요! 그리고 에미, 타케시 노래 왜케 잘하세요? 소름 끼쳤어요 최고의 시간이였습니다!"
강력추천,다시갈래요
누추한댕로에 이런 작품이 오다니,개재밌음 꼭보세요 올해 댕로에서 본 작품 중 젤 재밌고 잘만들었어요.
잊을수없는 공연,"첫 프랑켄슈타인 공연이였어요
기대없이 보게되었는데 왜 이제 봤는지 너무 후회 될 정도로 황홀하고 짜릿하며 너무너무 재밌는 공연이였습니다
이름만 알던 배우님들도 보며 너무 즐거웠습니다"
좋았어요,두번째 보니까 또 색다르게 다가옵니다. 넘버랑 연출 다 너무 좋았어요
정말 좋았어요,정말 좋았어요. 넘버들도 너무 좋고 배우님들도 완벽했습니다!
아이가 너무너무 좋아했어요!,"아이가 너무너무 좋아했어요!
나오면서는 아쉽다고 엄청 구슬프게 울기까지 하더라구요.. 다음에 또 보러 오자는 약속하고 집에 왔습니다.
집에 와서도 아이야 노래를 부르네요..ㅎㅎ"
한국인 입맛에 딱 맞는 뮤지컬,"고음, 자극적인 스토리, 비극..
한국인의 도파민 팡팡 입맛에 딱 맞는 뮤지컬이에요 추천!"
비싼 시카고 필요있어... 최고급 좌석도....,"정선아해즈 뮤덕이라 꼭 봐야했던 시카고...
3층 맨끝이라 소리도 작고 뭉게졌지만 �訓天�와 썸머벨마 목소리는 때려박히는것같앗다.....

꼭보세요꼭
근데 커플분들, 가족동반 많아서 혼잡? 하거나 관크싫어하시는분들은 조금 싫어하실수도....."
좋아요,넘 재밌고 웃겨서 원작 영화도 보고 싶어졌어요
기대이상입니다,"아이들이 너무좋아했어요~
제가더신났네요~~~
배우분들 너무 멋있고 퀄리티가 높아서 
너무좋았어요♡
다음번에 아이야보러 또 가려구요♡"
종이아빠!! 재미와 감동까지있는 뮤지컬이였어요??,"아이 방학이라 보여주려고 갔는데 
배우분들이 연기를 너무 잘하셔서 아이들도 재미있게 보고 기대 안하고간 제가더 푹빠져서 너무 재미있게 보고 왔습니다 마지막엔 감동까지 있어서 눈물까지 날뻔했다는...ㅋㅋㅋㅋ 재밌고 훈훈한 뮤지컬 이번주까지라는데 끝나기전에 놓치지 않고 보고 와서 다행이예요 종이아빠에서 같이하는 엄마는 안가르쳐줘도 이번주까지라니까 주말에 꼭 다녀오려고요  좋은 공연 감사합니다 :) 


-인스타 : sooae1105"
온몸이 소름,정성화 배우님. 완전 팬입니다.
헬로카봇 뮤지컬 후기,아이는 5살남아이 고요 매달 뮤지컬 보러 다니고 있어요~  저희 엄마 아빠는 커튼콜에 배우분들이 와서 인사해주는 느낌이 너무 좋아서 찾아가는데 ..이번 헬로 카봇 모든 배우님들이 정말 이야기도 해주고 인사도 많이해주셔서 아이가 너무 좋아했고 저희도 다녔던 뮤지컬 보다 가장 인상깊은 공연이 였습니다. 아이가 한번더보고 싶다라고~  아 배우님 모두 정말 힘드실텐데 열과 성의다해서 공연해주셔서 아이 아빠로 너무 감사합니다.
너무 좋았어요,또 보러 갈 거예요 최고
최고의 공연,아주 만족스러웠습니다
^^,재미있어요
순수한 사랑과,해피엔딩을 응원하는 마음으로
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
^^,재미있어요
계속 보게 되는 매력의 뮤지컬,"계속 보게 되는 매력의 뮤지컬또 다시 보러 왔네요 ㅎㅎ넘버들이 자꾸 맴돌아서 보러오게 되는 것 같아요.배우분들 연기, 노래 너무 잘하시고 스토리도 재밌어요!"
딸램과 즐거운 추억 남겼어요~~^^,평소에 티니핑 노래를 불렀는데 오늘 드디어 성덕이 되었어요^^ 즐거웠어요~~~
^^,재미있어요
너무 신나요,아이가 완전 좋아합니다 카봇 최고!!!
^^,재미있어요
넘넘 재밌었어요^^,"악동핑으로 변한 해핑이 다시 돌아와서 너무 다행이래요^^
남자아인데 재밌게 봤어요^^"
싱어롱 진짜 신나요,"노래도 부르고 뮤지컬도 보고 진짜 신나요 
공연 내내 신나게 노래 불렀어요"
바다 100층짜리 집,크고 작은 소품들과 배우분들의 열연이 돋보이는 공연이었습니다. 지는거 싫어하는 아이가 무시무시(?) 꽃게를 보고 골똘히 생각해 보는 교훈도 얻었네요ㅎㅎ 여름방학 아이와 함꺽 가위 바위 보 라랄 랄라 재미 난다~
^^,재미있어요
베이비클럽이에요 ㅋㅋㅋㅋ,어른들도 재밌었어요!
아이가 너무나 신나해요,"춤추고  노래따라부르고  소리지르고..

방학기간에 즐거운 시간 보낼수 있어서  매우 만족했습니다

추후 다른 뮤지컬도  꼭 봐야겠어요"
너무 재밌었어요!!,"엄마가 더 신나게 본 뮤지컬!
다음에 또 만나 베베핀가족??"
역시나 최고!!!,"작년 이 후 재관람했어요
다시봐도 또 전율!! 내년에 또 기대할게요!!
매년 정기적으로 에너지 받아가겠습니다.
배우분들 모두 건강하세요:)"
더욱 웅장해진 프랑켄,10주년이 되어 돌아온 프랑켄슈타인은 지난 공연보다 더 웅장해져서 돌아왔네요배우님들의 연기도 인상 깊었습니다
최애 카봇 뮤지컬!!,"이번 편도 너무 재밋네요^^
로봇도 멋지고 
웃긴장면도 많아서 같이 웃으면서 봤네요^^

배우분들 최고입니다!
무대효과랑 배경 점점 발전중!!"
재밌긴한데,개그코드가 안맞아서ㅠㅠㅠ 그래도 한 번쯤은 볼만하다!
관람후기 알려달랬더니 독립선언~~~,두자매 보냈더니 서로 그분과 결혼을 하겠다고 ㅎ
신선했습니다,지금까지 보아왔던 공연과는 다르게 매우 신선했습니다.
신선했습니다,그동안 보아왔던 공연과는 또 다르게 매우 신선했습니다.
추천합니다.,고전을 각색한 극이지만 요즘 현실을 돌아봐도 차고 넘치는 이야기들이에요. 많은 생각을 하게 합니다.
접변 연장해주셨으면 좋겠어요..,벌써 막공 다가온다고 생각하니 아쉽네요ㅠㅠㅠ
시카고 대한민국을 강타하다!!,"3년 전에 뮤지컬 입문을 시카고로 함과 동시에 시카고의 매력에 잔뜩 빠져 3년 내내 프레스콜 찾아듣고,, 내한 영상 찾아보고.., 심지어는 영화까지도 몇번씩 다시 보는 지경에 이르렀는데
현장의 분위기와 감성이 그리워지던 그 때,,!! 시카고가 돌아온다는 소식을 듣고 예매날만을 기다렸고... 성공했습니다.,!! 매체 노출이 많아지는 바람에 걷잡을 수 없이 커져버린 인기로 힘들었지만 그렇게 얻어낸 경험은 역시나 가치있고 행복했습니다..???? 다음 시즌도, 그 다음 시즌도 계속해서 다시 보고싶어요!!"
시데레우스,불확실함 속 희미한 빛을 따라간 갈릴레오와 케플러에 희망과 꿈을 가득 품고 극장에서 나왔던 것 같아요! 그리고 조명이 진짜 진짜 예뻐요..
추천합니다,스포 없이 보시길 바라고 보시고 나면 여운 남는 극..
감동적이었어요,"진짜 안보면 후회할 작품입니다!!!
여러분 꼭꼭!!!보시길 추천드립니다!!!"
추천합니다,가격 책정도 좌석 차등으로 잘 해놨으니 궁금하시면 부담없이 볼 수 있어요 진짜 추천!!
추천합니다,접변 끝나기 전에 꼭 보세요!! 간만에 극본 꽉 차있고 연출 조명 다 좋은 극
같은 감정을 나누고 공유하는 것,함께 같은 감정을 나누는 것이 얼마나 진귀하고 애틋한건지 같은 기억을 함께 추억할 수 있다는 게 얼마나 소중한 일인지 깨닫게 해준 공연이었습니다:) 어�c 최고에요!
프랑켄슈타인 최고!!,"규현 카이 페어로 봤는데 정말 너무 재미있었고 뮤지컬 프랑켄슈타인은 페어별로, 그리고 매 공연마다 달라지는 디테일들이 있어 여러번 볼수록 더 좋고 재미있는 작품이라고 생각해요!"
베어 최고!!,"페어별로, 매 공연마다 다른 디테일들이 있어서 여러번 볼수록 더 재미있고 모든 인물들에게 다 공감할 수 있는 뮤지컬이라고 생각해요!"
어�c 너무 좋아요,따뜻한 공연이에요
매우 만족,정말 후회되지 않는 공연이에요
등등곡,판을 펼처라 선비님들 오신다~
최고의 공연,10주년다운 최고의 공연이었어요
역대급 공연,박은태 전동석 이지혜 배우님들 너무 완벽했어요
어�c 최고ㅠㅜㅜ,어�c 정말 따뜻하고 너무 좋은 작품이라는 생각이 들어요ㅠㅜㅠ 헬퍼봇들의 마음에 너무 공감이 가고 감동을 받을 수 있어서 너무 재밌게 봤습니당!!
등등곡,즐거웠어요 등등곡 1기.. 2기로 꼭 다시 만날 수 있길 ㅋㅋㅋㅋㅋ우리 좋은 날 다시 만나세!
홍련,홍나현 배우님 연기진짜.. 소름돋아요...
조명을 활용한 퍼포먼스와 배우들의 열연,"이름부터 많은 궁금증을 갖게 하는 '하데스 타운'은 그에 걸맞게 신비롭고, 하나의 세계에 푹 빠지게 만드는 매력을 가졌습니다! 특히 배우들의 역할에 맞는 맞춤형 연기와, 조명을 활용한 퍼포먼스는 관객을 하나의 세계관으로 몰입시키기에 충분했습니다! 그리고 라이브 밴드의 사운드 자체도 흥을 돋기에 완벽했고, 뮤지컬의 형태를 띄지만 콘서트장의 하나의 컨셉처럼 느껴지기도 해서 다른 뮤지컬과는 색다른 재미를 느꼈습니다!! 기회가 된다면 다른 배우들의 연기도 보고 다른 매력으로 즐기고 싶네요. 정말 잘봤습니당~"
조명을 활용한 퍼포먼스와 배우들의 열연,"이름부터 많은 궁금증을 갖게 하는 '하데스 타운'은 그에 걸맞게 신비롭고, 하나의 세계에 푹 빠지게 만드는 매력을 가졌습니다! 특히 배우들의 역할에 맞는 맞춤형 연기와, 조명을 활용한 퍼포먼스는 관객을 하나의 세계관으로 몰입시키기에 충분했습니다! 그리고 라이브 밴드의 사운드 자체도 흥을 돋기에 완벽했고, 뮤지컬의 형태를 띄지만 콘서트장의 하나의 컨셉처럼 느껴지기도 해서 다른 뮤지컬과는 색다른 재미를 느꼈습니다!! 기회가 된다면 다른 배우들의 연기도 보고 다른 매력으로 즐기고 싶네요. 정말 잘봤습니당~"
러닝타임이 너무 길어요,"코미디요소가 많은 공연인지 모르고 관람했는데,
자꾸 피식 피식 웃게되더라구요.
큰웃음보다는 소소하게 웃으며 보는 공연인가보다 했는데, 후반부는 좀 지루했습니다.

뭘 말하고자하는건지 이해가 좀 안됐어요.
그와중에 배우님들은 너무 잘하고 열심히 하셔서 좀 속상했네요.

쓸데없이 긴 넘버들 좀 줄이고 100분이나 110분 공연으로 만들어주시면 너무 좋을것 같습니다.
후반부에 퀸틴, 제이 힘든 액션도 좀 걷어내도 되지 않을까 싶었어요. 배우님들 너무 힘들어보여요.."
러닝타임이 너무 길어요,"코미디요소가 많은 공연인지 모르고 관람했는데,
자꾸 피식 피식 웃게되더라구요.
큰웃음보다는 소소하게 웃으며 보는 공연인가보다 했는데, 후반부는 좀 지루했습니다.

뭘 말하고자하는건지 이해가 좀 안됐어요.
그와중에 배우님들은 너무 잘하고 열심히 하셔서 좀 속상했네요.

쓸데없이 긴 넘버들 좀 줄이고 100분이나 110분 공연으로 만들어주시면 너무 좋을것 같습니다.
후반부에 퀸틴, 제이 힘든 액션도 좀 걷어내도 되지 않을까 싶었어요. 배우님들 너무 힘들어보여요.."
접변,꼭 보세요!
미오프라텔로,넘버 맛집!!
접변,"노래가 중독성있고
계속 생각이 나요~~ㅎ"
나비,예쁜 나비들의 공연이랄까요
좋아요,"무대도 좋고
배우님들의 연기.노래
다 너무 좋아요ㅎ"
너무 즐거웠습니다 !!,"우연한 기회로 마주한 프랑켄슈타인 조금 더 빨리 보지 못한 것이 후회로 남을 정도로 재미있었습니다!! 처음 관극하는 거라서 이렇게까지 여운이 남을 것이에도고는 생각하지 못했는데 너무 감동적이고 또 재미있었습니다. 관람 전에도 공부하다가 예매창 들어갔다가를 반복했어요 ㅎㅎ 기대를 안고 관극한 프랑켄슈타인은 제 생각외로 훨씬 심도있었습니다. 초반엔 그저 배우님들의 재치에 웃음이 나왔습니다. 하지만 극이 점점 고조될수록 프랑켄슈타인이라는 작품만의 연계, 절망으로 그 감정에 따라 천천히 눈물이 흐르기 시작했습니다. 마치 그동안의 상처와 후회들이 넘버와 함께 씻겨내려가는 기분이었습니다. 먼저 1인 2역이라는 게 믿기지 않을 정도로 캐릭터 소화력이 엄청나셨습니다. 상반된 캐릭터임에도 불구하고 연기가 소름돋아서 너무 좋았습니다!! 주연배우님들의 기량도 뛰어나셨지만 앙상블 보는 맛에 갔다죠.. 극을 보는 내내 뮤지컬한테 위로받는 것 같기도 해서 좋았습니다 ㅎㅎ저는 북극에서의 괴물의 대사 중 ‘그 한쪽 다리로는 이 넓은 북극을 나갈 수 없을거야’가 그동안의 감정의 결실같아 가장 여운이 남았습니다. 또 위생창에서 빅터의 대사 하나하나가 너무 좋았습니다. 한번 관람하는데 비용이 많이 들다 보니 여러번 감상하는 것은 꿈도 꾸지 못했는데 이러한 이벤트로 기회라도 주셔서 너무 감사드립니다!! 너무 행복한 경험이었어요ㅜㅠ"
접변ㅎ,"너무 좋아요ㅎ
말이 필요없는 공연ㅎ"
푹 빠져들어 봤어요..,"자첫때는 심각한 내용에 빠져 전체를 즐기지 못했는데 자둘때는 다른 포인트들이 눈에 들어오더라구요.
전체적으로 넘버들이 어렵고 고음들이 많아서
배우분들 힘드실것 같았지만 잘 표현해주셔서
감동적으로 봤어요. 특히 서영택배우님은 
이번 작품이 첫작품으로 알고있는데
탄탄한 노래실력에 자연스러운 연기까지!!
앞으로 큰 성장을 이루실 것 같다는 생각이 들었습니다!! 세번째 공연 기다려집니다~!!!"
갇��을 봐야지,갇��의 깊은 연기 안 본 사람 없게 해주세요 피터의 고민과 행복과 슬픔과 아픔이 정말 밀도있게 표현되는 갇��의 연기 ㅜㅜㅜ
믿고보는 재한제이슨,베어 넘버 좋은건 다 알고.. 재한젯 연기가 진심 대박임. 피터에게서 눈을 떼지않는 절절함 ㅜㅜ 보는 내내 행복햇다 재한젯..
인생은 라이딩처럼,"새롭고 신박한 공연이었어요
가까이에서 소통하고 함께 호흡할 수
있다는 게 이 공연의 최대 장점이네요
이유는 모르겠지만 아쉬움이 남아서
경험상 한 번만 봐도 충분하다 느껴졌어요"
불가해한 수준의 마술,"제가 의심이 많은 사람이라 마술을 보면 어떤 눈속임이 있는지, 어떤 장치가 사용된 건지 자연스럽게 궁금해지더라고요.그런데 이 마술쇼의 중간부터는 더이상 의심을 그만하고 받아들이게 되었습니다.상식 밖에서 이뤄지는 것을 보고 경이롭다고 생각했어요. 마술이 아닌 마법이 맞습니다. 최현우 마법사님! :)"
잘 봤습니다,"앞의 한시간 웃으면서 잘 봤구요. 뒤에 한시간은 좀 늘어진다는 느낌을 받았습니다
진짜 배우님들 몸을 사리지않고 최선을 다하시는 모습에 감동받았습니다! 배우님들이 노력하는 만큼 더 좋읔 극이 되었으면 좋겠습니다!!!!"
아이들의 혼을 쏘옥 빼놓는 핑크퐁 아기상어 플레이 뮤지컬 대만족♡,"핑크퐁과 아기상어를 너무 사랑하는 31개월 아들과 함께 다녀왔어요!모두 함께 춤도 추면서 즐길 수 있는 뮤지컬이라고 해서 무대쪽에서 제일 가까운쪽으로 예매를 하였고결론적으로 대대대대 만족이었습니다^^저희 아이도 처음에는 낯설어하더니, 배우분들이 아이 한명한명 관심을 가져주니 금방 적응하여너무 신나하더라구요ㅎㅎ 아이와 함께 동화속 세상으로 들어간 것만 같은 무대연출과교훈을 주는 스토리까지 너무 탄탄하고 돈이 아깝지 않은 뮤지컬이었습니다^^뮤지컬을 보고 온 이후로도 집에서 계속 춤을 추는데, 정말 즐겁게 봤구나 하는 마음에 행복했던 경험이었습니다. 감사합니다."
시카고,시원하게 즐거움을 선사하고 유쾌함을 주는 뮤지컬이에요 짜릿하게 즐길 수 있어 좋아요
접변 자첫 (스포x),"와 이 극은 정말 스포 받지 않고 자첫 하시기를
정말 멋진 극이에요. 처음 보는 장르인데도 불구하고 정말 재밌게 봤어요. 중국사에 대한 지식이 없어도 재밌게 볼 수 있어요. 배우님들도 멋지고 여러분 모두 즐관극하실 수 있어요!! 
but 자리는 좌블보단 우블 우블보단 중블!! 좀 뒤더라도 중블이 최고에요!!"
재밌어요,진따 재밌어요 어느 페어나 상관없이 남녀노소 즐길 수 있습니다 또 볼거에요
완전 재미있어요!!,아이 뮤지컬이지만 어른인 제가 봐도 너무너무 재미있었어요!!! 또 보러 오자 해서 또또또 와야겠어요^^
